class,itemset,support
other_cyberbullying,bulli,0.11377436880792585
other_cyberbullying,dont,0.05656759348034516
other_cyberbullying,fuck,0.0685522531160115
other_cyberbullying,get,0.06056248002556727
other_cyberbullying,im,0.08852668584212209
other_cyberbullying,like,0.05912432086928731
other_cyberbullying,peopl,0.05289229785874081
other_cyberbullying,rt,0.11105784595717481
religion,amp,0.06830259456080025
religion,call,0.054079399812441385
religion,christian,0.22897780556423883
religion,countri,0.06580181306658331
religion,dont,0.12425758049390434
religion,even,0.05767427321037824
religion,get,0.05939356048765239
religion,go,0.05376680212566427
religion,human,0.08471397311659894
religion,idiot,0.3732416380118787
religion,india,0.05032822757111598
religion,isi,0.07517974366989684
religion,islam,0.25679899968740233
religion,jihad,0.06673960612691467
religion,kill,0.0761175367302282
religion,know,0.08596436386370741
religion,like,0.13957486714598313
religion,make,0.05079712410128165
religion,muslim,0.4820256330103157
religion,one,0.07908721475461082
religion,peopl,0.12035010940919037
religion,quran,0.07142857142857142
religion,radic,0.1267583619881213
religion,religion,0.06423882463269771
religion,right,0.15395436073773053
religion,say,0.08940293841825571
religion,support,0.1355110972178806
religion,terror,0.12816505157861832
religion,terrorist,0.1541106595811191
religion,think,0.06627070959674898
religion,us,0.053923100969052826
religion,want,0.05736167552360113
religion,woman,0.10940919037199125
religion,world,0.06220693966864645
religion,your,0.05110972178805877
religion,"christian, radic",0.08893404188809002
religion,"christian, right",0.11409815567364802
religion,"support, christian",0.09393560487652391
religion,"woman, christian",0.10315723663644889
religion,"dont, idiot",0.06767739918724601
religion,"dont, muslim",0.07814942169427946
religion,"human, jihad",0.052985307908721475
religion,"terrorist, human",0.05798687089715536
religion,"like, idiot",0.06986558299468584
religion,"muslim, idiot",0.3537042825883088
religion,"peopl, idiot",0.05532979055954986
religion,"terrorist, isi",0.05048452641450453
religion,"muslim, islam",0.0692403876211316
religion,"islam, terror",0.10972178805876837
religion,"terrorist, islam",0.05564238824632698
religion,"terrorist, jihad",0.05548608940293842
religion,"muslim, like",0.08096280087527352
religion,"muslim, peopl",0.06595811190997186
religion,"say, muslim",0.052985307908721475
religion,"terrorist, muslim",0.0525164113785558
religion,"support, radic",0.09674898405751797
religion,"woman, right",0.10050015629884339
religion,"support, christian, radic",0.08705845576742732
religion,"christian, woman, right",0.09956236323851203
religion,"dont, muslim, idiot",0.06502031884964052
religion,"terrorist, human, jihad",0.05110972178805877
religion,"muslim, idiot, like",0.0665833072835261
religion,"muslim, peopl, idiot",0.052047514848390125
gender,bitch,0.12590153653182817
gender,call,0.15177171527124492
gender,dont,0.10003135779241142
gender,femal,0.12715584822828474
